player,date_of_birth,pronounced,height_inches,height_meters,weight_lbs,hand,backhand,pro_date,retire_date,pro_year,retire_year,birthplace,birth_city,birth_state,birth_country,primary_residence,primary_city,primary_state,primary_country,secondary_residence,secondary_city,secondary_state,secondary_country,player_url,ytd_wta_singles_titles,career_wta_singles_titles,ytd_wta_doubles_titles,career_wta_doubles_titles,ytd_itf_singles_titles,career_itf_singles_titles,ytd_itf_doubles_titles,career_itf_doubles_titles,ytd_prize_money,career_prize_money,ytd_wl_singles,career_wl_singles,ytd_wl_doubles,career_wl_doubles,ytd_singles_wins,ytd_singles_losses,career_singles_wins,career_singles_losses,ytd_doubles_wins,ytd_doubles_losses,career_doubles_wins,career_doubles_losses,tour,date_data,bmi
Raluca Olaru,3/3/89,NA,68,1.7,132,R,two,2003,NA,2003,NA,"Bucharest, Romania",Bucharest,,Romania,"Bucharest, Romania",Bucharest,,Romania,,,,,http://www.wtatennis.com/players/player/11056/title/raluca-olaru,0,0,0,3,0,11,0,14,45142,789040,0-2,257-181,13-17,176-110,0,2,257,181,13,17,176,110,WTA,8/5/14,20.0683391
Raluca Sandu,2/3/80,NA,69,1.7,132,R,,1994,NA,1994,NA,"Bucharest, Romania",Bucharest,,Romania,"Bucharest, Romania",Bucharest,,Romania,,,,,http://www.wtatennis.com/players/player/7677/title/raluca-sandu,NA,0,NA,0,NA,4,NA,1,0,157333,NA,187-154,NA,32-59,NA,NA,187,154,NA,NA,32,59,WTA,8/5/14,19.49086326
Rebecca Marino,12/16/90,NA,NA,1.8,141,R,two,2008,2013,2008,2013,"Toronto, Canada",Toronto,,Canada,"Vancouver, Canada",Vancouver,,Canada,,,,,http://www.wtatennis.com/players/player/12711/title/rebecca-marino,NA,0,NA,0,NA,5,NA,2,0,461519,NA,150-107,NA,41-62,NA,NA,150,107,NA,NA,41,62,WTA,8/5/14,NA
Regina Kordova,2/5/68,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/6704/title/regina-kordova,NA,0,NA,1,NA,2,NA,3,0,349056,NA,143-98,NA,82-82,NA,NA,143,98,NA,NA,82,82,WTA,8/5/14,NA
Regina Kulikova,1/30/89,NA,NA,1.8,152,R,two,NA,NA,NA,NA,"Almaty, Kazakhstan",Almaty,,Kazakhstan,"Biel, Switzerland",Biel,,Switzerland,,,,,http://www.wtatennis.com/players/player/10733/title/regina-kulikova,NA,0,NA,0,NA,12,NA,2,0,438568,NA,187-84,NA,20-11,NA,NA,187,84,NA,NA,20,11,WTA,8/5/14,NA
Regina Marsikova,12/11/58,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/4978/title/regina-marsikova,NA,0,NA,0,NA,17,NA,0,0,589766,NA,369-234,NA,32-66,NA,NA,369,234,NA,NA,32,66,WTA,8/5/14,NA
Renata Voracova,10/6/83,NA,NA,NA,NA,R,two,NA,NA,NA,NA,"Zlin, Czech Republic",Zlin,,Czech Republic,"Zlin, Czech Republic",Zlin,,Czech Republic,,,,,http://www.wtatennis.com/players/player/8819/title/renata-voracova,0,0,0,8,0,15,1,52,85861,1163381,29-19,455-359,20-15,463-231,29,19,455,359,20,15,463,231,WTA,8/5/14,NA
Rene Simpson,1/14/66,NA,NA,NA,NA,L,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/7379/title/rene-simpson,NA,0,NA,3,NA,4,NA,3,0,485389,NA,161-133,NA,99-119,NA,NA,161,133,NA,NA,99,119,WTA,8/5/14,NA
Rene Uys,7/16/64,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/8520/title/rene-uys,NA,0,NA,0,NA,0,NA,1,0,28008,NA,14-19,NA,14-Jul,NA,NA,14,19,NA,NA,7,14,WTA,8/5/14,NA
Rennae Stubbs,3/26/71,NA,61,1.7,143,R,one,NA,NA,NA,NA,"Sydney, Australia",Sydney,,Australia,"Sydney, Australia",Sydney,,Australia,"Tampa, FL, USA",Tampa,Florida,USA,http://www.wtatennis.com/players/player/7330/title/rennae-stubbs,NA,0,NA,60,NA,2,NA,10,0,5198172,NA,186-176,NA,809-361,NA,NA,186,176,NA,NA,809,361,WTA,8/5/14,27.01666219
Rika Fujiwara,9/19/81,REE-kah foo-jee-WAH-ruh,61,1.5,114,R,two,1999,NA,1999,NA,"Tokyo, Japan",Tokyo,,Japan,"Kanagawa, Japan ",Kanagawa,,Japan,,,,,http://www.wtatennis.com/players/player/2609/title/rika-fujiwara,0,0,0,1,0,9,2,26,10368,836688,15-18,418-324,17-12,312-187,15,18,418,324,17,12,312,187,WTA,8/5/14,21.53775867
Rika Hiraki,12/6/71,NA,62,1.5,99,R,two,Sep-91,NA,1991,NA,"Beirut, Lebanon",Beirut,,Lebanon,"Matsudo, Japan",Matsudo,,Japan,,,,,http://www.wtatennis.com/players/player/3230/title/rika-hiraki,NA,0,NA,6,NA,1,NA,10,0,852103,NA,208-252,NA,274-251,NA,NA,208,252,NA,NA,274,251,WTA,8/5/14,18.105359
Rita Grande,3/23/75,GRAHN-day,69,1.7,145,R,,NA,NA,NA,NA,"Napoli, Italy",Napoli,,Italy,"Rivoli, Italy",Rivoli,,Italy,,,,,http://www.wtatennis.com/players/player/2866/title/rita-grande,NA,3,NA,5,NA,1,NA,3,0,1858558,NA,336-332,NA,198-239,NA,NA,336,332,NA,NA,198,239,WTA,8/5/14,21.41041798
Rita Kuti-Kis,2/13/78,NA,69,1.7,145,L,two,1991,NA,1991,NA,"Lengyeltoti, Hungary",Lengyeltoti,,Hungary,"Balatonlelle, Hungary",Balatonlelle,,Hungary,,,,,http://www.wtatennis.com/players/player/4174/title/rita-kuti-kis,NA,1,NA,0,NA,4,NA,7,0,472961,NA,277-228,NA,55-44,NA,NA,277,228,NA,NA,55,44,WTA,8/5/14,21.41041798
Roberta Vinci,2/18/83,NA,64,1.6,132,R,one,1999,NA,1999,NA,"Taranto, Italy",Taranto,,Italy,"Taranto, Italy",Taranto,,Italy,,,,,http://www.wtatennis.com/players/player/8754/title/roberta-vinci,0,9,4,23,0,9,0,10,1174752,7415772,15-19,481-325,38-8,389-182,15,19,481,325,38,8,389,182,WTA,8/5/14,22.65527344
Robin White,12/10/63,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/8860/title/robin-white,NA,1,NA,11,NA,2,NA,4,0,1140121,NA,197-178,NA,291-166,NA,NA,197,178,NA,NA,291,166,WTA,8/5/14,NA
Romana Tedjakusuma,7/24/76,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/6870/title/romana-tedjakusuma,NA,0,NA,1,NA,6,NA,19,0,156848,NA,261-192,NA,175-102,NA,NA,261,192,NA,NA,175,102,WTA,8/5/14,NA
Romina Oprandi,3/29/86,NA,66,1.7,143,R,two,5-Feb,NA,2005,NA,"Jegenstorf, Switzerland",Jegenstorf,,Switzerland,"Bern, Switzerland",Bern,,Switzerland,,,,,http://www.wtatennis.com/players/player/6151/title/romina-oprandi,0,0,1,1,0,22,0,11,142764,1290324,15-16,336-177,4-Oct,113-76,15,16,336,177,10,4,113,76,WTA,8/5/14,23.07828283
Ronni Reis,5/10/66,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/6729/title/ronni-reis,NA,0,NA,2,NA,1,NA,4,0,138301,NA,73-62,NA,77-61,NA,NA,73,62,NA,NA,77,61,WTA,8/5/14,NA
Rosalyn Nideffer,11/2/60,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/2336/title/rosalyn-nideffer,NA,0,NA,10,NA,5,NA,6,0,1639135,NA,383-320,NA,417-260,NA,NA,383,320,NA,NA,417,260,WTA,8/5/14,NA
Rosie Casals,9/16/48,NA,62,1.5,120,R,,1968,NA,1968,NA,"San Franscisco, California,USA",San Franscisco,California,USA,"Sausalito, California, USA",Sausalito,California,USA,,,,,http://www.wtatennis.com/players/player/1195/title/rosie-casals,NA,0,NA,1,NA,10,NA,6,0,1362222,NA,595-325,NA,92-94,NA,NA,595,325,NA,NA,92,94,WTA,8/5/14,21.9458897
Rossana De Los Rios,9/16/75,NA,67,1.7,120,R,two,1989,NA,1989,NA,"Asuncií_n, Paraguay",Asuncií_n,,Paraguay,"Asuncií_n, Paraguay",Asuncií_n,,Paraguay,"Miami, FL, USA",Miami,Florida,USA,http://www.wtatennis.com/players/player/1878/title/rossana-de-los-rios,NA,0,NA,0,NA,11,NA,6,0,1077550,NA,447-314,NA,119-140,NA,NA,447,314,NA,NA,119,140,WTA,8/5/14,18.79260414
Ruxandra Dragomir Ilie,10/24/72,NA,66,1.6,127,R,,NA,NA,NA,NA,"Pitesti, Romania",Pitesti,,Romania,"Bucharest, Romania",Bucharest,,Romania,,,,,http://www.wtatennis.com/players/player/1893/title/ruxandra-dragomir-ilie,NA,4,NA,5,NA,7,NA,8,0,1861426,NA,290-233,NA,216-197,NA,NA,290,233,NA,NA,216,197,WTA,8/5/14,20.49609734
Sabina Simmonds,4/17/60,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/7277/title/sabina-simmonds,NA,0,NA,0,NA,0,NA,0,0,19767,NA,41-54,NA,16-Sep,NA,NA,41,54,NA,NA,9,16,WTA,8/5/14,NA
Sabine Appelmans,4/22/72,NA,NA,NA,NA,L,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/21/title/sabine-appelmans,NA,7,NA,4,NA,1,NA,1,0,2054352,NA,346-237,NA,147-162,NA,NA,346,237,NA,NA,147,162,WTA,8/5/14,NA
Sabine Hack,7/12/69,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/3197/title/sabine-hack,NA,4,NA,1,NA,1,NA,0,0,941566,NA,235-172,NA,33-56,NA,NA,235,172,NA,NA,33,56,WTA,8/5/14,NA
Sabine Lisicki,9/22/89,NA,61,1.7,154,R,two,2006,NA,2006,NA,"Troisdorf, Germany",Troisdorf,,Germany,"Bradenton, FL, USA",Bradenton,Florida,USA,,,,,http://www.wtatennis.com/players/player/11771/title/sabine-lisicki,0,3,1,3,0,2,0,0,758888,5072709,10-Dec,249-161,4-Jun,64-38,12,10,249,161,6,4,64,38,WTA,8/5/14,29.09486697
Sabrina Goles,6/3/65,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/2705/title/sabrina-goles,NA,1,NA,3,NA,0,NA,0,0,277281,NA,102-109,NA,87-91,NA,NA,102,109,NA,NA,87,91,WTA,8/5/14,NA
Silvia Soler-Espinosa,11/19/87,NA,67,1.6,134,R,two,NA,NA,NA,NA,"Elche, Spain",Elche,,Spain,"Elche, Spain",Elche,,Spain,,,,,http://www.wtatennis.com/players/player/10789/title/silvia-soler-espinosa,0,0,0,0,0,4,0,0,356964,1287337,25-22,300-253,16-Oct,74-92,25,22,300,253,10,16,74,92,WTA,8/5/14,20.98507463
Samantha Reeves,1/17/79,NA,68,1.7,132,R,two,NA,NA,NA,NA,"Redwood City, California, USA",Redwood City,California,USA,"Miami, Florida, USA",Miami,Florida,USA,,,,,http://www.wtatennis.com/players/player/7014/title/samantha-reeves,NA,0,NA,2,NA,2,NA,6,0,713714,NA,233-243,NA,131-148,NA,NA,233,243,NA,NA,131,148,WTA,8/5/14,20.0683391
Samantha Smith,11/27/71,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/7352/title/samantha-smith,NA,0,NA,0,NA,3,NA,5,0,351902,NA,199-160,NA,54-75,NA,NA,199,160,NA,NA,54,75,WTA,8/5/14,NA
Samantha Stosur,3/30/84,NA,69,1.7,150,R,two,1999,NA,1999,NA,"Brisbane, Australia",Brisbane,,Australia,"Gold Coast, Australia",Gold Coast,,Australia,,,,,http://www.wtatennis.com/players/player/7941/title/samantha-stosur,0,5,0,24,0,4,0,11,649202,13697341,19-17,463-313,8-Sep,368-180,19,17,463,313,9,8,368,180,WTA,8/5/14,22.14870825
Sanda Mamic,3/22/85,SAN-dah MAH-mic,61,1.7,130,L,two,2004,NA,2004,NA,"Zagreb, Croatia",Zagreb,,Croatia,"Zagreb, Croatia",Zagreb,,Croatia,,,,,http://www.wtatennis.com/players/player/5713/title/sanda-mamic,NA,0,NA,0,NA,3,NA,1,0,237432,NA,145-104,NA,21-24,NA,NA,145,104,NA,NA,21,24,WTA,8/5/14,24.56060199
Sandra Cacic,9/10/74,KAY-sick,66,1.6,140,R,two,Feb-90,NA,1990,NA,"Joliet, Illinois, USA",Joliet,Illinois,USA,"Bradenton, Florida, USA",Bradenton,Florida,USA,,,,,http://www.wtatennis.com/players/player/1291/title/sandra-cacic,NA,1,NA,1,NA,8,NA,4,0,707596,NA,281-219,NA,85-75,NA,NA,281,219,NA,NA,85,75,WTA,8/5/14,22.59412305
Sandra Cecchini,2/27/65,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/1151/title/sandra-cecchini,NA,9,NA,11,NA,5,NA,0,0,1314473,NA,340-235,NA,211-182,NA,NA,340,235,NA,NA,211,182,WTA,8/5/14,NA
Sandra Dopfer,5/25/70,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/1784/title/sandra-dopfer,NA,0,NA,0,NA,6,NA,0,0,382801,NA,206-188,NA,26-54,NA,NA,206,188,NA,NA,26,54,WTA,8/5/14,NA
Sandra Kleinova,5/8/78,KLEYE-no-vuh,69,1.7,134,R,two,Oct-93,NA,1993,NA,"Prague, Czech Republic",Prague,,Czech Republic,"Prague, Czech Republic",Prague,,Czech Republic,,,,,http://www.wtatennis.com/players/player/4218/title/sandra-kleinova,NA,0,NA,0,NA,6,NA,4,0,770761,NA,333-349,NA,54-85,NA,NA,333,349,NA,NA,54,85,WTA,8/5/14,19.78617937
Sandra Kloesel,6/22/79,kleu-ZEL,68,1.7,141,R,two,Jul-95,NA,1995,NA,"Baden-Wurttemberg, Germany",Baden-Wurttemberg,,Germany,"Baden-Wurttemberg, Germany",Baden-Wurttemberg,,Germany,,,,,http://www.wtatennis.com/players/player/4234/title/sandra-kloesel,NA,0,NA,0,NA,8,NA,6,0,664310,NA,354-291,NA,81-101,NA,NA,354,291,NA,NA,81,101,WTA,8/5/14,21.43663495
Sandra Nacuk,8/17/80,NA,67,1.7,130,R,two,Aug-96,NA,1996,NA,"Novi Sad, Yugoslavia",Novi Sad,,Yugoslavia,"Novi Sad, Yugoslavia",Novi Sad,,Yugoslavia,,,,,http://www.wtatennis.com/players/player/5910/title/sandra-nacuk,NA,0,NA,1,NA,4,NA,5,0,305150,NA,139-106,NA,59-61,NA,NA,139,106,NA,NA,59,61,WTA,8/5/14,20.35865449
Sandra Wasserman,3/10/70,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/8850/title/sandra-wasserman,NA,0,NA,1,NA,0,NA,0,0,286026,NA,133-138,NA,36-57,NA,NA,133,138,NA,NA,36,57,WTA,8/5/14,NA
Sandra Zahlavova,10/10/85,NA,66,1.6,132,R,two,NA,NA,NA,NA,"Plzen, Czech Republic",Plzen,,Czech Republic,"Plzen, Czech Republic",Plzen,,Czech Republic,,,,,http://www.wtatennis.com/players/player/9393/title/sandra-zahlavova,NA,0,NA,0,NA,12,NA,9,0,583310,NA,441-326,NA,122-96,NA,NA,441,326,NA,NA,122,96,WTA,8/5/14,21.3030303
Sandrine Testud,4/3/72,son-DREEN TESS-too,69,1.7,150,R,,NA,NA,NA,NA,"Lyon, France",Lyon,,France,"Lyon, France",Lyon,,France,,,,,http://www.wtatennis.com/players/player/8210/title/sandrine-testud,NA,3,NA,4,NA,5,NA,4,0,3782307,NA,398-279,NA,223-190,NA,NA,398,279,NA,NA,223,190,WTA,8/5/14,22.14870825
Sandy Collins,10/13/58,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/1167/title/sandy-collins,NA,0,NA,3,NA,0,NA,2,0,610261,NA,264-273,NA,247-249,NA,NA,264,273,NA,NA,247,249,WTA,8/5/14,NA
Sania Mirza,11/15/86,NA,68,1.7,126,R,two,2003,NA,2003,NA,"Mumbai, India",Mumbai,,India,"Hyderabad, India",Hyderabad,,India,,,,,http://www.wtatennis.com/players/player/9471/title/sania-mirza,0,1,1,20,0,14,0,4,271184,3451104,0-0,271-161,28-14,315-164,0,0,271,161,28,14,315,164,WTA,8/5/14,19.15614187
Saori Obata,4/23/78,SOW-ree OH-ba-tah,65,1.6,132,L,two,Apr-96,NA,1996,NA,"Tokyo, Japan",Tokyo,,Japan,"Tokyo, Japan",Tokyo,,Japan,,,,,http://www.wtatennis.com/players/player/6066/title/saori-obata,NA,0,NA,1,NA,6,NA,12,0,652031,NA,281-222,NA,118-102,NA,NA,281,222,NA,NA,118,102,WTA,8/5/14,21.9635503
Sara Errani,4/29/87,NA,64,1.6,132,R,two,2002,NA,2002,NA,"Bologna, Italy",Bologna,,Italy,"Bologna, Italy",Bologna,,Italy,,,,,http://www.wtatennis.com/players/player/10077/title/sara-errani,0,7,4,23,0,2,0,6,1802757,9656019,29-17,402-270,38-8,286-154,29,17,402,270,38,8,286,154,WTA,8/5/14,22.65527344
Sara Gomer,5/13/64,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/2706/title/sara-gomer,NA,1,NA,0,NA,2,NA,1,0,313052,NA,153-163,NA,28-80,NA,NA,153,163,NA,NA,28,80,WTA,8/5/14,NA
Sarah Loosemore,6/15/71,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/4564/title/sarah-loosemore,NA,0,NA,0,NA,1,NA,1,0,116991,NA,68-68,NA,18-Oct,NA,NA,68,68,NA,NA,10,18,WTA,8/5/14,NA
Sarah Pitkowski-Malcor,11/13/75,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/6385/title/sarah-pitkowski-malcor,NA,1,NA,0,NA,10,NA,1,0,823787,NA,278-198,NA,52-101,NA,NA,278,198,NA,NA,52,101,WTA,8/5/14,NA
Sarah Taylor,11/6/81,NA,69,1.7,145,R,two,1-Mar,NA,2001,NA,"New York, New York, USA",New York,New York,USA,"Bradenton, Florida, USA",Bradenton,Florida,USA,,,,,http://www.wtatennis.com/players/player/8403/title/sarah-taylor,NA,0,NA,0,NA,6,NA,0,0,294946,NA,177-153,NA,33-48,NA,NA,177,153,NA,NA,33,48,WTA,8/5/14,21.41041798
Seda Noorlander,5/22/74,SAY-duh NOOR-lan-der,65,1.6,128,R,two,1993,NA,1993,NA,"Den Haag, Netherlands",Den Haag,,Netherlands,"Den Haag, Netherlands",Den Haag,,Netherlands,,,,,http://www.wtatennis.com/players/player/1882/title/seda-noorlander,NA,0,NA,1,NA,3,NA,22,0,623689,NA,347-343,NA,220-162,NA,NA,347,343,NA,NA,220,162,WTA,8/5/14,21.29798817
Selima Sfar,7/8/77,NA,65,1.6,121,R,,1999,NA,1999,NA,"Tunis, Tunisia",Tunis,,Tunisia,"Biarritz, France",Biarritz,,France,,,,,http://www.wtatennis.com/players/player/7648/title/selima-sfar,NA,0,NA,0,NA,11,NA,21,0,876041,NA,395-383,NA,238-201,NA,NA,395,383,NA,NA,238,201,WTA,8/5/14,20.13325444
Serena Williams,9/26/81,NA,69,1.7,155,R,two,Sep-95,NA,1995,NA,"Saginaw, MI, USA",Saginaw,Michigan,USA,"Palm Beach Gardens, FL, USA",Palm Beach Gardens,Florida,USA,,,,,http://www.wtatennis.com/players/player/9044/title/serena-williams,4,61,0,22,0,0,0,0,2139508,56322989,30-5,662-117,2-Jan,174-26,30,5,662,117,1,2,174,26,WTA,8/5/14,22.88699853
Sesil Karatantcheva,8/8/89,NA,67,1.7,140,R,two,NA,NA,NA,NA,"Sofia, Bulgaria",Sofia,,Bulgaria,"Astana, Kazakhstan",Astana,,Kazakhstan,,,,,http://www.wtatennis.com/players/player/11101/title/sesil-karatantcheva,0,0,0,0,0,7,0,0,37911,893332,17-16,297-185,0-0,22-37,17,16,297,185,0,0,22,37,WTA,8/5/14,21.92470483
Severine Beltrame,8/14/79,NA,67,1.7,146,R,one,2002,NA,2002,NA,"Montpellier, France",Montpellier,,France,"Vitrolles, France",Vitrolles,,France,,,,,http://www.wtatennis.com/players/player/929/title/severine-beltrame,NA,0,NA,0,NA,8,NA,10,0,1221128,NA,360-330,NA,120-126,NA,NA,360,330,NA,NA,120,126,WTA,8/5/14,22.86433504
Shahar Peer,5/1/87,NA,67,1.7,132,R,two,2004,NA,2004,NA,"Jerusalem, Israel",Jerusalem,,Israel,"Macabim, Israel",Macabim,,Israel,,,,,http://www.wtatennis.com/players/player/10493/title/shahar-peer,0,6,0,3,0,4,0,3,205499,4915651,18-Dec,383-237,9-Oct,178-159,12,18,383,237,10,9,178,159,WTA,8/5/14,20.67186456
Sharon Fichman,12/3/90,NA,64,1.6,125,R,two,2009,NA,2009,NA,"Toronto, Canada",Toronto,,Canada,"Toronto, Canada",Toronto,,Canada,,,,,http://www.wtatennis.com/players/player/12515/title/sharon-fichman,0,0,1,1,1,9,0,16,174877,573615,22-13,261-166,18-13,184-120,22,13,261,166,18,13,184,120,WTA,8/5/14,21.45385742
Sharon Walsh,2/24/52,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/8842/title/sharon-walsh,NA,0,NA,3,NA,0,NA,0,0,181094,NA,33-46,NA,117-68,NA,NA,33,46,NA,NA,117,68,WTA,8/5/14,NA
Shaun Stafford,12/13/68,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/7309/title/shaun-stafford,NA,1,NA,1,NA,6,NA,1,0,786504,NA,192-152,NA,119-138,NA,NA,192,152,NA,NA,119,138,WTA,8/5/14,NA
Shawn Foltz,12/21/67,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/2377/title/shawn-foltz,NA,0,NA,0,NA,0,NA,1,0,45967,NA,37-54,NA,35-37,NA,NA,37,54,NA,NA,35,37,WTA,8/5/14,NA
Shenay Perry,7/6/84,sheh-NAY,67,1.7,146,R,one,1-Jan-00,NA,2000,NA,"Washington DC, USA",Washington DC,,USA,"Coral Springs, Florida, USA",Coral Springs,Florida,USA,,,,,http://www.wtatennis.com/players/player/6356/title/shenay-perry,NA,0,NA,0,NA,9,NA,7,0,906548,NA,239-165,NA,93-81,NA,NA,239,165,NA,NA,93,81,WTA,8/5/14,22.86433504
Shi-Ting Wang,10/19/73,NA,NA,NA,NA,R,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/8891/title/shi-ting-wang,NA,6,NA,0,NA,8,NA,1,0,775006,NA,218-130,NA,74-87,NA,NA,218,130,NA,NA,74,87,WTA,8/5/14,NA
Shinobu Asagoe,6/28/76,shin-oh-BOO as-a-GO-ee,67,1.7,128,R,two,1-Feb-97,NA,1997,NA,"Hyogo, Japan",Hyogo,,Japan,"Hyogo, Japan",Hyogo,,Japan,,,,,http://www.wtatennis.com/players/player/208/title/shinobu-asagoe,NA,0,NA,8,NA,9,NA,10,0,1662261,NA,275-208,NA,226-148,NA,NA,275,208,NA,NA,226,148,WTA,8/5/14,20.04544442
Shuai Peng,1/8/86,NA,61,1.7,135,R,two,NA,NA,NA,NA,"Hunan, China",Hunan,,China,"Tian Jin, China",Tian Jin,,China,,,,,http://www.wtatennis.com/players/player/6355/title/shuai-peng,0,0,4,16,1,10,0,3,937506,5688850,22-16,374-236,24-6,241-145,22,16,374,236,24,6,241,145,WTA,8/5/14,25.50524053
Shuai Zhang,1/21/89,NA,61,1.7,143,R,two,NA,NA,NA,NA,"Tianjin, China",Tianjin,,China,"Tianjin, China",Tianjin,,China,,,,,http://www.wtatennis.com/players/player/11069/title/shuai-zhang,0,2,1,5,0,15,0,8,346028,1396946,17-20,305-194,15-12,167-133,17,20,305,194,15,12,167,133,WTA,8/5/14,27.01666219
Silke Frankl,5/29/70,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/2365/title/silke-frankl,NA,0,NA,0,NA,2,NA,1,0,286418,NA,157-144,NA,29-56,NA,NA,157,144,NA,NA,29,56,WTA,8/5/14,NA
Silke Meier,7/13/68,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/5010/title/silke-meier,NA,0,NA,1,NA,3,NA,4,0,503262,NA,190-214,NA,94-133,NA,NA,190,214,NA,NA,94,133,WTA,8/5/14,NA
Silvia Farina Elia,4/27/72,fa-REE-nuh ELL-ee-a,67,1.7,137,R,,NA,5-Oct,NA,2005,"Milan, Italy",Milan,,Italy,"Rome, Italy",Rome,,Italy,,,,,http://www.wtatennis.com/players/player/2394/title/silvia-farina-elia,NA,3,NA,9,NA,2,NA,6,0,3688252,NA,469-370,NA,269-255,NA,NA,469,370,NA,NA,269,255,WTA,8/5/14,21.45488973
Silvija Talaja,1/14/78,SIL-vee-ah ta-LEYE-yuh,68,1.7,126,R,two,1992,NA,1992,NA,"Imotski, Croatia",Imotski,,Croatia,"Makarska, Croatia",Makarska,,Croatia,,,,,http://www.wtatennis.com/players/player/8262/title/silvija-talaja,NA,2,NA,1,NA,1,NA,0,0,1135876,NA,300-273,NA,69-120,NA,NA,300,273,NA,NA,69,120,WTA,8/5/14,19.15614187
Simona Halep,9/27/91,NA,66,1.6,132,R,two,NA,NA,NA,NA,"Constanta, Romania",Constanta,,Romania,"Constanta, Romania",Constanta,,Romania,,,,,http://www.wtatennis.com/players/player/13516/title/simona-halep,2,8,0,0,0,6,0,4,3253277,5292922,36-10,255-128,0-2,41-42,36,10,255,128,0,2,41,42,WTA,8/5/14,21.3030303
Sloane Stephens,3/20/93,NA,67,1.7,135,R,two,NA,NA,NA,NA,"Plantation, FL, USA",Plantation,Florida,USA,"Coral Springs, FL, USA",Coral Springs,Florida,USA,,,,,http://www.wtatennis.com/players/player/14824/title/sloane-stephens,0,0,0,0,0,1,0,1,603739,2761973,17-16,159-114,0-5,29-38,17,16,159,114,0,5,29,38,WTA,8/5/14,21.14167966
Sofia Arvidsson,2/16/84,NA,69,1.7,152,R,two,1999,NA,1999,NA,"Halmstad, Sweden",Halmstad,,Sweden,"Halmstad, Sweden",Halmstad,,Sweden,,,,,http://www.wtatennis.com/players/player/332/title/sofia-arvidsson,0,2,0,1,0,18,0,13,28872,2072286,14-15,440-309,0-2,122-118,14,15,440,309,0,2,122,118,WTA,8/5/14,22.44402436
Sonya Jeyaseelan,4/24/76,NA,62,1.5,119,R,two,NA,NA,NA,NA,"Newestminster, British Columbia, Canada",Newestminster,British Columbia,Canada,"Toronto, Ontario, Canada",Toronto,Ontario,Canada,,,,,http://www.wtatennis.com/players/player/3824/title/sonya-jeyaseelan,NA,0,NA,2,NA,3,NA,3,0,730722,NA,205-212,NA,112-153,NA,NA,205,212,NA,NA,112,153,WTA,8/5/14,21.76300728
