player,date_of_birth,pronounced,height_inches,height_meters,weight_lbs,hand,backhand,pro_date,retire_date,pro_year,retire_year,birthplace,birth_city,birth_state,birth_country,primary_residence,primary_city,primary_state,primary_country,secondary_residence,secondary_city,secondary_state,secondary_country,player_url,ytd_wta_singles_titles,career_wta_singles_titles,ytd_wta_doubles_titles,career_wta_doubles_titles,ytd_itf_singles_titles,career_itf_singles_titles,ytd_itf_doubles_titles,career_itf_doubles_titles,ytd_prize_money,career_prize_money,ytd_wl_singles,career_wl_singles,ytd_wl_doubles,career_wl_doubles,ytd_singles_wins,ytd_singles_losses,career_singles_wins,career_singles_losses,ytd_doubles_wins,ytd_doubles_losses,career_doubles_wins,career_doubles_losses,tour,date_data,bmi
Andrea Petkovic,9/9/87,NA,61,1.8,152,R,two,2006,NA,2006,NA,"Tuzla, Bosnia",Tuzla,,Bosnia,"Darmstadt, Germany",Darmstadt,,Germany,,,,,http://www.wtatennis.com/players/player/10087/title/andrea-petkovic,2,4,0,0,0,9,0,3,1096196,3997697,32-15,340-195,8-Aug,70-70,32,15,340,195,8,8,70,70,WTA,8/5/14,28.71701156
Andrea Strnadova,5/28/72,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/7403/title/andrea-strnadova,NA,1,NA,3,NA,3,NA,2,0,504157,NA,130-104,NA,105-84,NA,NA,130,104,NA,NA,105,84,WTA,8/5/14,NA
Andrea Temesvari,4/26/66,NA,71,1.8,135,R,two,NA,1997,NA,1997,"Budapest, Hungary",Budapest,,Hungary,"Budapest, Hungary",Budapest,,Hungary,,,,,http://www.wtatennis.com/players/player/8122/title/andrea-temesvari,NA,1,NA,5,NA,6,NA,5,0,1090106,NA,241-210,NA,211-171,NA,NA,241,210,NA,NA,211,171,WTA,8/5/14,18.8266217
Andrea Vieira,2/5/71,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/8601/title/andrea-vieira,NA,0,NA,0,NA,11,NA,13,0,217609,NA,226-150,NA,114-82,NA,NA,226,150,NA,NA,114,82,WTA,8/5/14,NA
Andreja Klepac,3/13/86,an-DRAY-uh kleh-PACH,69,1.7,152,R,two,2004,NA,2004,NA,"Koper, Slovenia",Koper,,Slovenia,"Koper, Slovenia",Koper,,Slovenia,,,,,http://www.wtatennis.com/players/player/11325/title/andreja-klepac,0,0,1,2,0,3,0,13,50305,554047,0-0,215-220,16-18,209-189,0,0,215,220,16,18,209,189,WTA,8/5/14,22.44402436
Angela Haynes,9/27/84,NA,68,1.7,145,L,two,NA,NA,NA,NA,"Bellflower, CA, USA",Bellflower,California,USA,"Irvine, CA, USA",Irvine,California,USA,,,,,http://www.wtatennis.com/players/player/9933/title/angela-haynes,NA,0,NA,0,NA,2,NA,8,0,492625,NA,223-201,NA,135-127,NA,NA,223,201,NA,NA,135,127,WTA,8/5/14,22.04476644
Angeles Montolio,8/6/75,NA,62,1.5,123,R,two,Feb-90,NA,1990,NA,"Barcelona, Spain",Barcelona,,Spain,"Barcelona, Spain",Barcelona,,Spain,,,,,http://www.wtatennis.com/players/player/5270/title/angeles-montolio,NA,3,NA,0,NA,12,NA,1,0,720661,NA,276-200,NA,46-54,NA,NA,276,200,NA,NA,46,54,WTA,8/5/14,22.49453694
Angelica Gavaldon,10/3/73,NA,NA,NA,NA,R,two,1990,2000,1990,2000,"El Centro, CA, USA",El Centro,California,USA,,,,,,,,,http://www.wtatennis.com/players/player/2777/title/angelica-gavaldon,NA,0,NA,0,NA,3,NA,1,0,504376,NA,184-162,NA,17-Oct,NA,NA,184,162,NA,NA,10,17,WTA,8/5/14,NA
Angelika Roesch,6/8/77,NA,67,1.7,137,R,two,1996,NA,1996,NA,"Berlin, Germany",Berlin,,Germany,"Berlin, Germany",Berlin,,Germany,,,,,http://www.wtatennis.com/players/player/7001/title/angelika-roesch,NA,0,NA,0,NA,5,NA,6,0,371951,NA,347-363,NA,125-147,NA,NA,347,363,NA,NA,125,147,WTA,8/5/14,21.45488973
Angeliki Kanellopoulou,12/18/65,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,http://www.wtatennis.com/players/player/3938/title/angeliki-kanellopoulou,NA,0,NA,0,NA,0,NA,0,0,170059,NA,85-94,NA,13-39,NA,NA,85,94,NA,NA,13,39,WTA,8/5/14,NA
Angelique Kerber,1/18/88,NA,68,1.7,150,L,two,2003,NA,2003,NA,"Bremen, Germany",Bremen,,Germany,"Puszczykowo, Poland",Puszczykowo,,Poland,,,,,http://www.wtatennis.com/players/player/10768/title/angelique-kerber,0,3,0,0,0,11,0,3,1261636,6686173,37-16,394-220,0-2,53-56,37,16,394,220,0,2,53,56,WTA,8/5/14,22.8049308
Angelique Widjaja,12/12/84,ann-je-LEEK wee-JEYE-ah,68,1.7,130,R,,NA,NA,NA,NA,"Bandung, Indonesia",Bandung,,Indonesia,"Bandung, Indonesia",Bandung,,Indonesia,,,,,http://www.wtatennis.com/players/player/9082/title/angelique-widjaja,NA,2,NA,2,NA,1,NA,6,0,533037,NA,118-86,NA,103-69,NA,NA,118,86,NA,NA,103,69,WTA,8/5/14,19.76427336
Aniko Kapros,11/11/83,AH-ni-koh KAP-ross,68,1.7,136,R,two,Feb-00,NA,2000,NA,"Budapest, Hungary",Budapest,,Hungary,"Budapest, Hungary",Budapest,,Hungary,,,,,http://www.wtatennis.com/players/player/4421/title/aniko-kapros,NA,0,NA,0,NA,2,NA,5,0,490850,NA,197-184,NA,25-43,NA,NA,197,184,NA,NA,25,43,WTA,8/5/14,20.67647059
Anke Huber,12/4/74,NA,68,1.7,128,R,two,Jan-89,1-Nov,1989,2001,"Bruchsal, Germany",Bruchsal,,Germany,"Salzburg, Austria",Salzburg,,Austria,,,,,http://www.wtatennis.com/players/player/3342/title/anke-huber,NA,12,NA,1,NA,2,NA,0,0,4768292,NA,447-225,NA,130-129,NA,NA,447,225,NA,NA,130,129,WTA,8/5/14,19.46020761
