"country_code","player","rank","match","round","player_id","scrape_time","date_of_birth","height_inches","weight_lbs","hand","exact_age","age","country","gender"
"GER","Tobias Kamke",NA,27,1,54,"2014-08-23 14:46:59",1986-05-21,70.078778,163,"R",28.2573579739904,28,"Germany","Mens"
"IRL","James McGee",NA,10,1,19,"2014-08-23 14:46:59",1987-06-10,72,176,"R",27.2032854209446,27,"Ireland","Mens"
"ISR","Dudi Sela",NA,50,1,100,"2014-08-23 14:46:59",1985-04-04,68.897675,144,"R",29.3853524982888,29,"Israel","Mens"
"ITA","Andreas Seppi",NA,22,1,44,"2014-08-23 14:46:59",1984-02-21,74.80319,165,"R",30.5023956194387,30,"Italy","Mens"
"ITA","Paolo Lorenzi",NA,55,1,110,"2014-08-23 14:46:59",1981-12-15,72.047283,169,"R",32.6872005475702,32,"Italy","Mens"
"ITA","Simone Bolelli",NA,23,1,45,"2014-08-23 14:46:59",1985-10-08,72.047283,174,"R",28.8733744010951,28,"Italy","Mens"
"ITA","Fabio Fognini",15,57,1,113,"2014-08-23 14:46:59",1987-05-24,70.078778,163,"R",27.2498288843258,27,"Italy","Mens"
"JPN","Taro Daniel",NA,32,1,63,"2014-08-23 14:46:59",1993-01-27,75,168,"R",21.5687885010267,21,"Japan","Mens"
"JPN","Yoshihito Nishioka",NA,55,1,109,"2014-08-23 14:46:59",1995-09-27,67,138,"R",18.9048596851472,18,"Japan","Mens"
"JPN","Kei Nishikori",10,25,1,49,"2014-08-23 14:46:59",1989-12-29,70.078778,150,"R",24.6488706365503,24,"Japan","Mens"
"JPN","Tatsuma Ito",NA,38,1,76,"2014-08-23 14:46:59",1988-05-18,70.86618,165,"R",26.2642026009582,26,"Japan","Mens"
"KAZ","Aleksandr Nedovyesov",NA,10,1,20,"2014-08-23 14:46:59",1987-02-15,75.984293,183,"R",27.5181382614647,27,"Kazakhstan","Mens"
"KAZ","Andrey Golubev",NA,57,1,114,"2014-08-23 14:46:59",1987-07-22,72.834685,170,"R",27.088295687885,27,"Kazakhstan","Mens"
"KAZ","Mikhail Kukushkin",NA,7,1,13,"2014-08-23 14:46:59",1987-12-26,72.047283,159,"R",26.6584531143053,26,"Kazakhstan","Mens"
"LAT","Ernests Gulbis",11,40,1,80,"2014-08-23 14:46:59",1988-08-30,74.80319,187,"R",25.9794661190965,25,"Latvia","Mens"
"LUX","Gilles Muller",NA,2,1,3,"2014-08-23 14:46:59",1983-05-09,75.984293,202,"L",31.2908966461328,31,"Luxembourg","Mens"
"MDA","Radu Albot",NA,45,1,90,"2014-08-23 14:46:59",1989-11-11,69,154,"R",24.7802874743326,24,"Moldova","Mens"
"NED","Robin Haase",NA,16,1,31,"2014-08-23 14:46:59",1987-04-06,74.80319,170,"R",27.3812457221081,27,"Netherlands","Mens"
"NED","Igor Sijsling",NA,30,1,60,"2014-08-23 14:46:59",1987-08-18,74.80319,192,"R",27.0143737166324,27,"Netherlands","Mens"
"POL","Jerzy Janowicz",NA,43,1,85,"2014-08-23 14:46:59",1990-11-13,79.921303,200,"R",23.7754962354552,23,"Poland","Mens"
"POR","Joao Sousa",32,52,1,104,"2014-08-23 14:46:59",1989-03-30,72.834685,161,"R",25.3990417522245,25,NA,"Mens"
"RSA","Kevin Anderson",18,44,1,88,"2014-08-23 14:46:59",1986-05-18,79.921303,197,"R",28.2655715263518,28,"South Africa","Mens"
"RUS","Dmitry Tursunov",NA,54,1,108,"2014-08-23 14:46:59",1982-12-12,72.834685,180,"R",31.6960985626283,31,"Russia","Mens"
"RUS","Alexander Kudryavtsev",NA,35,1,70,"2014-08-23 14:46:59",1985-10-26,72,165,"R",28.8240930869268,28,"Russia","Mens"
"RUS","Andrey Kuznetsov",NA,14,1,28,"2014-08-23 14:46:59",1991-02-22,72.834685,156,"R",23.4989733059548,23,"Russia","Mens"
"RUS","Evgeny Donskoy",NA,35,1,69,"2014-08-23 14:46:59",1990-05-09,72.834685,163,"R",24.290212183436,24,"Russia","Mens"
"RUS","Mikhail Youzhny",21,21,1,41,"2014-08-23 14:46:59",1982-06-25,72.047283,160,"R",32.1615331964408,32,"Russia","Mens"
"RUS","Teymuraz Gabashvili",NA,36,1,71,"2014-08-23 14:46:59",1985-05-23,74.015788,182,"R",29.2511978097194,29,"Russia","Mens"
"SLO","Blaz Kavcic",NA,19,1,37,"2014-08-23 14:46:59",1987-03-05,74.015788,174,"R",27.4688569472964,27,"Slovakia","Mens"
"SLO","Blaz Rola",NA,13,1,26,"2014-08-23 14:46:59",1990-10-05,75.984293,175,"L",23.8822724161533,23,"Slovakia","Mens"
"SRB","Dusan Lajovic",NA,43,1,86,"2014-08-23 14:46:59",1990-06-30,72.047283,174,"R",24.1478439425051,24,"Serbia","Mens"
"SRB","Novak Djokovic",1,1,1,1,"2014-08-23 14:46:59",1987-05-22,74.015788,176,"R",27.2553045859001,27,"Serbia","Mens"
"SRB","Filip Krajinovic",NA,59,1,117,"2014-08-23 14:46:59",1992-02-27,73,165,"R",22.4859685147159,22,"Serbia","Mens"
"SUI","Marco Chiudinelli",NA,42,1,84,"2014-08-23 14:46:59",1981-09-10,74.015788,174,"R",32.9500342231348,32,"Switzerland","Mens"
"SUI","Roger Federer",2,64,1,128,"2014-08-23 14:46:59",1981-08-08,72.834685,187,"R",33.0403832991102,33,"Switzerland","Mens"
"SUI","Stan Wawrinka",3,17,1,33,"2014-08-23 14:46:59",1985-03-28,72.047283,179,"R",29.4045174537988,29,"Switzerland","Mens"
"SVK","Lukas Lacko",NA,39,1,77,"2014-08-23 14:46:59",1987-11-03,72.834685,188,"R",26.8035592060233,26,"Slovakia","Mens"
"SVK","Martin Klizan",NA,34,1,68,"2014-08-23 14:46:59",1989-07-11,74.015788,165,"L",25.1170431211499,25,"Slovakia","Mens"
"TPE","Yen-Hsun Lu",NA,4,1,7,"2014-08-23 14:46:59",1983-08-14,70.86618,163,"R",31.025325119781,31,"Taiwan","Mens"
"UKR","Illya Marchenko",NA,42,1,83,"2014-08-23 14:46:59",1987-09-08,72.834685,172,"R",26.9568788501027,26,"Ukraine","Mens"
"UKR","Sergiy Stakhovsky",NA,22,1,43,"2014-08-23 14:46:59",1986-01-06,75.984293,176,"R",28.6269678302532,28,"Ukraine","Mens"
"URU","Pablo Cuevas",NA,44,1,87,"2014-08-23 14:46:59",1986-01-01,70.86618,176,"R",28.6406570841889,28,"Uruguay","Mens"
"USA","Tim Smyczek",NA,59,1,118,"2014-08-23 14:46:59",1987-12-30,68.897675,160,"R",26.6475017111567,26,"USA","Mens"
"USA","Steve Johnson",NA,38,1,75,"2014-08-23 14:46:59",1989-12-24,74.015788,190,"R",24.662559890486,24,"USA","Mens"
"USA","Ryan Harrison",NA,49,1,98,"2014-08-23 14:46:59",1992-05-07,74.015788,185,"R",22.2943189596167,22,"USA","Mens"
"USA","Donald Young",NA,19,1,38,"2014-08-23 14:46:59",1989-07-23,72.047283,175,"L",25.0841889117043,25,"USA","Mens"
"USA","Jared Donaldson",NA,53,1,106,"2014-08-23 14:46:59",1996-10-09,74,155,"R",17.8699520876112,17,"USA","Mens"
"USA","Bradley Klahn",NA,14,1,27,"2014-08-23 14:46:59",1990-08-20,72.047283,165,"L",24.0082135523614,24,"USA","Mens"
"USA","Wayne Odesnik",NA,25,1,50,"2014-08-23 14:46:59",1985-11-21,70.86618,170,"L",28.7529089664613,28,"USA","Mens"
"USA","Noah Rubin",NA,46,1,91,"2014-08-23 14:46:59",1996-02-21,69,145,"R",18.5023956194387,18,"USA","Mens"
"USA","Sam Querrey",NA,3,1,6,"2014-08-23 14:46:59",1987-10-07,77.952798,200,"R",26.8774811772758,26,"USA","Mens"
"USA","Jack Sock",NA,26,1,52,"2014-08-23 14:46:59",1992-09-24,72.834685,180,"R",21.9110198494182,21,"USA","Mens"
"USA","Marcos Giron",NA,8,1,15,"2014-08-23 14:46:59",1993-07-24,71,165,"R",21.0814510609172,21,"USA","Mens"
"USA","John Isner",13,8,1,16,"2014-08-23 14:46:59",1985-04-26,81.889808,238,"R",29.3251197809719,29,"USA","Mens"
"UZB","Denis Istomin",NA,56,1,111,"2014-08-23 14:46:59",1986-09-07,74.015788,194,"R",27.958932238193,27,"Uzbekistan","Mens"
"ARG","Paula Ormaechea",NA,45,1,90,"2014-08-23 14:48:09",1992-09-28,67,126,"R",21.9000684462697,21,"Argentina","Ladies"
"AUS","Ajla Tomljanovic",NA,8,1,15,"2014-08-23 14:48:09",1993-05-07,61,148,"R",21.2950034223135,21,"Australia","Ladies"
"AUS","Jarmila Gajdosova",NA,20,1,39,"2014-08-23 14:48:09",1987-04-26,67,148,"R",27.3264887063655,27,"Australia","Ladies"
"AUS","Ashleigh Barty",NA,29,1,58,"2014-08-23 14:48:09",1996-04-24,65,137,"R",18.3299110198494,18,"Australia","Ladies"
"AUS","Samantha Stosur",24,5,1,9,"2014-08-23 14:48:09",1984-03-30,69,150,"R",30.3983572895277,30,"Australia","Ladies"
"AUS","Anastasia Rodionova",NA,58,1,115,"2014-08-23 14:48:09",1982-05-12,65,130,"R",32.2819986310746,32,"Australia","Ladies"
"AUS","Casey Dellacqua",29,13,1,25,"2014-08-23 14:48:09",1985-02-11,65,146,"L",29.5277207392197,29,"Australia","Ladies"
"AUT","Patricia Mayr-Achleitner",NA,13,1,26,"2014-08-23 14:48:09",1986-11-08,67,132,"R",27.7891854893908,27,"Austria","Ladies"
"AUT","Yvonne Meusburger",NA,15,1,30,"2014-08-23 14:48:09",1983-10-03,69,132,"R",30.8884325804244,30,"Austria","Ladies"
"BEL","Alison Van Uytvanck",NA,3,1,6,"2014-08-23 14:48:09",1994-03-26,68,139,"R",20.4106776180698,20,"Belgium","Ladies"
"BEL","Kirsten Flipkens",NA,57,1,114,"2014-08-23 14:48:09",1986-01-10,65,121,"R",28.6160164271047,28,"Belgium","Ladies"
"BEL","Yanina Wickmayer",NA,35,1,70,"2014-08-23 14:48:09",1989-10-20,NA,150,"R",24.8405201916496,24,"Belgium","Ladies"
"BLR","Olga Govortsova",NA,32,1,63,"2014-08-23 14:48:09",1988-08-23,NA,148,"R",25.9986310746064,25,"Belarus","Ladies"
"BLR","Victoria Azarenka",16,24,1,48,"2014-08-23 14:48:09",1989-07-31,NA,154,"R",25.0622861054073,25,"Belarus","Ladies"
"BLR","Aliaksandra Sasnovich",NA,55,1,110,"2014-08-23 14:48:09",1994-03-22,NA,NA,"R",20.4216290212183,20,"Belarus","Ladies"
"BRA","Teliana Pereira",NA,12,1,23,"2014-08-23 14:48:09",1988-07-20,66,137,"R",26.0917180013689,26,"Brazil","Ladies"
"BUL","Tsvetana Pironkova",NA,39,1,78,"2014-08-23 14:48:09",1987-09-13,61,143,"R",26.943189596167,26,"Bulgaria","Ladies"
"CAN","Aleksandra Wozniak",NA,36,1,71,"2014-08-23 14:48:09",1987-09-07,69,132,"R",26.9596167008898,26,"Canada","Ladies"
"CAN","Eugenie Bouchard",7,32,1,64,"2014-08-23 14:48:09",1994-02-25,61,134,"R",20.4900752908966,20,"Canada","Ladies"
"CAN","Francoise Abanda",NA,52,1,103,"2014-08-23 14:48:09",1997-02-15,71,NA,"R",17.5167693360712,17,"Canada","Ladies"
"CAN","Sharon Fichman",NA,48,1,95,"2014-08-23 14:48:09",1990-12-03,64,125,"R",23.7207392197125,23,"Canada","Ladies"
"CHN","Shuai Peng",NA,47,1,93,"2014-08-23 14:48:09",1986-01-08,61,135,"R",28.621492128679,28,"China","Ladies"
"CHN","Shuai Zhang",32,4,1,8,"2014-08-23 14:48:09",1989-01-21,61,143,"R",25.5852156057495,25,"China","Ladies"
"CHN","Jie Zheng",NA,47,1,94,"2014-08-23 14:48:09",1983-07-05,64,126,"R",31.1348391512663,31,"China","Ladies"
"CHN","Qiang Wang",NA,14,1,28,"2014-08-23 14:48:09",1992-01-14,69,NA,"R",22.6064339493498,22,"China","Ladies"
"CHN","Ying-Ying Duan",NA,34,1,67,"2014-08-23 14:48:09",1989-06-03,73,185,"R",25.2210814510609,25,"China","Ladies"
"CHN","Saisai Zheng",NA,42,1,83,"2014-08-23 14:48:09",1994-02-05,67,NA,"R",20.5448323066393,20,"China","Ladies"
"CRO","Donna Vekic",NA,7,1,14,"2014-08-23 14:48:09",1996-06-28,61,141,"R",18.1519507186858,18,"Croatia","Ladies"
"CRO","Mirjana Lucic-Baroni",NA,61,1,122,"2014-08-23 14:48:09",1982-03-09,61,145,"R",32.4572210814511,32,"Croatia","Ladies"
"CZE","Petra Kvitova",3,17,1,33,"2014-08-23 14:48:09",1990-03-08,NA,154,"L",24.4599589322382,24,"Czech Republic","Ladies"
"CZE","Lucie Safarova",14,41,1,81,"2014-08-23 14:48:09",1987-02-04,69,137,"L",27.5482546201232,27,"Czech Republic","Ladies"
"CZE","Kristyna Pliskova",NA,50,1,99,"2014-08-23 14:48:09",1992-03-21,NA,161,"L",22.4229979466119,22,"Czech Republic","Ladies"
"CZE","Petra Cetkovska",NA,18,1,36,"2014-08-23 14:48:09",1985-02-08,68,141,"R",29.5359342915811,29,"Czech Republic","Ladies"
"CZE","Barbora Zahlavova Strycova",30,29,1,57,"2014-08-23 14:48:09",1986-03-28,64,132,"R",28.4052019164955,28,"Czech Republic","Ladies"
"CZE","Tereza Smitkova",NA,54,1,107,"2014-08-23 14:48:09",1994-10-10,69,139,"R",19.8685831622177,19,"Czech Republic","Ladies"
"CZE","Karolina Pliskova",NA,15,1,29,"2014-08-23 14:48:09",1992-03-21,73,159,"R",22.4229979466119,22,"Czech Republic","Ladies"
"CZE","Klara Koukalova",NA,18,1,35,"2014-08-23 14:48:09",1982-02-24,65,121,"R",32.4928131416838,32,"Czech Republic","Ladies"
"DEN","Caroline Wozniacki",10,56,1,112,"2014-08-23 14:48:09",1990-07-11,61,139,"R",24.1177275838467,24,"Denmark","Ladies"
"ESP","Carla Suarez Navarro",15,8,1,16,"2014-08-23 14:48:09",1988-09-03,64,137,"R",25.968514715948,25,"Spain","Ladies"
"ESP","Garbine Muguruza",25,61,1,121,"2014-08-23 14:48:09",1993-10-08,NA,161,"R",20.8733744010951,20,"Spain","Ladies"
"ESP","Maria Teresa Torro Flor",NA,63,1,126,"2014-08-23 14:48:09",1992-05-02,61,137,"R",22.3080082135524,22,"Spain","Ladies"
"ESP","Silvia Soler-Espinosa",NA,46,1,92,"2014-08-23 14:48:09",1987-11-19,67,134,"R",26.7597535934292,26,"Spain","Ladies"
"EST","Kaia Kanepi",NA,6,1,12,"2014-08-23 14:48:09",1985-06-10,61,163,"R",29.201916495551,29,"Estonia","Ladies"
"FRA","Amandine Hesse",NA,44,1,87,"2014-08-23 14:48:09",1993-01-16,65,121,"R",21.5989048596851,21,"France","Ladies"
"FRA","Kristina Mladenovic",NA,17,1,34,"2014-08-23 14:48:09",1993-05-14,NA,132,"R",21.2758384668036,21,"France","Ladies"
"FRA","Virginie Razzano",NA,38,1,75,"2014-08-23 14:48:09",1983-05-12,69,148,"R",31.2826830937714,31,"France","Ladies"
"FRA","Alize Cornet",22,44,1,88,"2014-08-23 14:48:09",1990-01-22,68,139,"R",24.5831622176591,24,"France","Ladies"
"FRA","Caroline Garcia",NA,11,1,22,"2014-08-23 14:48:09",1993-10-16,61,134,"R",20.8514715947981,20,"France","Ladies"
"FRA","Pauline Parmentier",NA,6,1,11,"2014-08-23 14:48:09",1986-01-31,69,135,"R",28.5585215605749,28,"France","Ladies"
"GBR","Johanna Konta",NA,62,1,123,"2014-08-23 14:48:09",1991-05-17,61,154,"R",23.2689938398357,23,"Great Britain","Ladies"
"GBR","Heather Watson",NA,31,1,62,"2014-08-23 14:48:09",1992-05-19,67,138,"R",22.2614647501711,22,"Great Britain","Ladies"
"GER","Sabine Lisicki",26,52,1,104,"2014-08-23 14:48:09",1989-09-22,61,154,"R",24.9171800136893,24,"Germany","Ladies"
"GER","Annika Beck",NA,37,1,74,"2014-08-23 14:48:09",1994-02-16,67,130,"R",20.5147159479808,20,"Germany","Ladies"
"GER","Angelique Kerber",6,33,1,65,"2014-08-23 14:48:09",1988-01-18,68,150,"L",26.5954825462012,26,"Germany","Ladies"
"GER","Julia Goerges",NA,9,1,18,"2014-08-23 14:48:09",1988-11-02,61,154,"R",25.8042436687201,25,"Germany","Ladies"
"GER","Mona Barthel",NA,4,1,7,"2014-08-23 14:48:09",1990-07-11,73,152,"R",24.1177275838467,24,"Germany","Ladies"
"GER","Andrea Petkovic",18,53,1,105,"2014-08-23 14:48:09",1987-09-09,61,152,"R",26.9541409993155,26,"Germany","Ladies"
"HUN","Timea Babos",NA,41,1,82,"2014-08-23 14:48:09",1993-05-10,61,150,"R",21.2867898699521,21,"Hungary","Ladies"
