,year,set_number,score_sets,games_winner,games_loser,score_extra,tiebreaker_winner,tiebreaker_loser,country_winner,winner,country_loser,loser,score_match,genderID,typeID,tournID,tourID
126,1914,1,6дус3,6,3,,,,USA,Richard Norris Williams,USA,Maurice McLoughlin,"6-3, 8-6, 10-8",M,S,USO,ATP
127,1914,2,8дус6,8,6,,,,USA,Richard Norris Williams,USA,Maurice McLoughlin,"6-3, 8-6, 10-8",M,S,USO,ATP
128,1914,3,10дус8,10,8,,,,USA,Richard Norris Williams,USA,Maurice McLoughlin,"6-3, 8-6, 10-8",M,S,USO,ATP
129,1915,1,1дус6,1,6,,,,USA,Bill Johnston,USA,Maurice McLoughlin,"1-6, 6-0, 7-5, 10-8",M,S,USO,ATP
130,1915,2,6дус0,6,0,,,,USA,Bill Johnston,USA,Maurice McLoughlin,"1-6, 6-0, 7-5, 10-8",M,S,USO,ATP
131,1915,3,7дус5,7,5,,,,USA,Bill Johnston,USA,Maurice McLoughlin,"1-6, 6-0, 7-5, 10-8",M,S,USO,ATP
132,1915,4,10дус8,10,8,,,,USA,Bill Johnston,USA,Maurice McLoughlin,"1-6, 6-0, 7-5, 10-8",M,S,USO,ATP
133,1916,1,4дус6,4,6,,,,USA,Richard Norris Williams,USA,Bill Johnston,"4-6, 6-4, 0-6, 6-2, 6-4",M,S,USO,ATP
134,1916,2,6дус4,6,4,,,,USA,Richard Norris Williams,USA,Bill Johnston,"4-6, 6-4, 0-6, 6-2, 6-4",M,S,USO,ATP
135,1916,3,0дус6,0,6,,,,USA,Richard Norris Williams,USA,Bill Johnston,"4-6, 6-4, 0-6, 6-2, 6-4",M,S,USO,ATP
136,1916,4,6дус2,6,2,,,,USA,Richard Norris Williams,USA,Bill Johnston,"4-6, 6-4, 0-6, 6-2, 6-4",M,S,USO,ATP
137,1916,5,6дус4,6,4,,,,USA,Richard Norris Williams,USA,Bill Johnston,"4-6, 6-4, 0-6, 6-2, 6-4",M,S,USO,ATP
138,1917,1,5дус7,5,7,,,,USA,Robert Lindley Murray,USA,Nathaniel Niles,"5-7, 8-6, 6-3, 6-3",M,S,USO,ATP
139,1917,2,8дус6,8,6,,,,USA,Robert Lindley Murray,USA,Nathaniel Niles,"5-7, 8-6, 6-3, 6-3",M,S,USO,ATP
140,1917,3,6дус3,6,3,,,,USA,Robert Lindley Murray,USA,Nathaniel Niles,"5-7, 8-6, 6-3, 6-3",M,S,USO,ATP
141,1917,4,6дус3,6,3,,,,USA,Robert Lindley Murray,USA,Nathaniel Niles,"5-7, 8-6, 6-3, 6-3",M,S,USO,ATP
142,1918,1,6дус3,6,3,,,,USA,Robert Lindley Murray,USA,Bill Tilden,"6-3, 6-1, 7-5",M,S,USO,ATP
143,1918,2,6дус1,6,1,,,,USA,Robert Lindley Murray,USA,Bill Tilden,"6-3, 6-1, 7-5",M,S,USO,ATP
144,1918,3,7дус5,7,5,,,,USA,Robert Lindley Murray,USA,Bill Tilden,"6-3, 6-1, 7-5",M,S,USO,ATP
145,1919,1,6дус4,6,4,,,,USA,Bill Johnston,USA,Bill Tilden,"6-4, 6-4, 6-3",M,S,USO,ATP
146,1919,2,6дус4,6,4,,,,USA,Bill Johnston,USA,Bill Tilden,"6-4, 6-4, 6-3",M,S,USO,ATP
147,1919,3,6дус3,6,3,,,,USA,Bill Johnston,USA,Bill Tilden,"6-4, 6-4, 6-3",M,S,USO,ATP
148,1920,1,6дус1,6,1,,,,USA,Bill Tilden,USA,Bill Johnston,"6-1, 1-6, 7-5, 5-7, 6-3",M,S,USO,ATP
149,1920,2,1дус6,1,6,,,,USA,Bill Tilden,USA,Bill Johnston,"6-1, 1-6, 7-5, 5-7, 6-3",M,S,USO,ATP
150,1920,3,7дус5,7,5,,,,USA,Bill Tilden,USA,Bill Johnston,"6-1, 1-6, 7-5, 5-7, 6-3",M,S,USO,ATP
151,1920,4,5дус7,5,7,,,,USA,Bill Tilden,USA,Bill Johnston,"6-1, 1-6, 7-5, 5-7, 6-3",M,S,USO,ATP
152,1920,5,6дус3,6,3,,,,USA,Bill Tilden,USA,Bill Johnston,"6-1, 1-6, 7-5, 5-7, 6-3",M,S,USO,ATP
153,1921,1,6дус1,6,1,,,,USA,Bill Tilden,USA,Wallace Johnson,"6-1, 6-3, 6-1",M,S,USO,ATP
154,1921,2,6дус3,6,3,,,,USA,Bill Tilden,USA,Wallace Johnson,"6-1, 6-3, 6-1",M,S,USO,ATP
155,1921,3,6дус1,6,1,,,,USA,Bill Tilden,USA,Wallace Johnson,"6-1, 6-3, 6-1",M,S,USO,ATP
156,1922,1,4дус6,4,6,,,,USA,Bill Tilden,USA,Bill Johnston,"4-6, 3-6, 6-2, 6-3, 6-4",M,S,USO,ATP
157,1922,2,3дус6,3,6,,,,USA,Bill Tilden,USA,Bill Johnston,"4-6, 3-6, 6-2, 6-3, 6-4",M,S,USO,ATP
158,1922,3,6дус2,6,2,,,,USA,Bill Tilden,USA,Bill Johnston,"4-6, 3-6, 6-2, 6-3, 6-4",M,S,USO,ATP
159,1922,4,6дус3,6,3,,,,USA,Bill Tilden,USA,Bill Johnston,"4-6, 3-6, 6-2, 6-3, 6-4",M,S,USO,ATP
160,1922,5,6дус4,6,4,,,,USA,Bill Tilden,USA,Bill Johnston,"4-6, 3-6, 6-2, 6-3, 6-4",M,S,USO,ATP
161,1923,1,6дус4,6,4,,,,USA,Bill Tilden,USA,Bill Johnston,"6-4, 6-1, 6-4",M,S,USO,ATP
162,1923,2,6дус1,6,1,,,,USA,Bill Tilden,USA,Bill Johnston,"6-4, 6-1, 6-4",M,S,USO,ATP
163,1923,3,6дус4,6,4,,,,USA,Bill Tilden,USA,Bill Johnston,"6-4, 6-1, 6-4",M,S,USO,ATP
164,1924,1,6дус1,6,1,,,,USA,Bill Tilden,USA,Bill Johnston,"6-1, 9-7, 6-2",M,S,USO,ATP
165,1924,2,9дус7,9,7,,,,USA,Bill Tilden,USA,Bill Johnston,"6-1, 9-7, 6-2",M,S,USO,ATP
166,1924,3,6дус2,6,2,,,,USA,Bill Tilden,USA,Bill Johnston,"6-1, 9-7, 6-2",M,S,USO,ATP
167,1925,1,4дус6,4,6,,,,USA,Bill Tilden,USA,Bill Johnston,"4-6, 11-9, 6-3, 4-6, 6-3",M,S,USO,ATP
168,1925,2,11дус9,11,9,,,,USA,Bill Tilden,USA,Bill Johnston,"4-6, 11-9, 6-3, 4-6, 6-3",M,S,USO,ATP
169,1925,3,6дус3,6,3,,,,USA,Bill Tilden,USA,Bill Johnston,"4-6, 11-9, 6-3, 4-6, 6-3",M,S,USO,ATP
170,1925,4,4дус6,4,6,,,,USA,Bill Tilden,USA,Bill Johnston,"4-6, 11-9, 6-3, 4-6, 6-3",M,S,USO,ATP
171,1925,5,6дус3,6,3,,,,USA,Bill Tilden,USA,Bill Johnston,"4-6, 11-9, 6-3, 4-6, 6-3",M,S,USO,ATP
172,1926,1,6дус4,6,4,,,,FRA,Renн© Lacoste,FRA,Jean Borotra,"6-4, 6-0, 6-4",M,S,USO,ATP
173,1926,2,6дус0,6,0,,,,FRA,Renн© Lacoste,FRA,Jean Borotra,"6-4, 6-0, 6-4",M,S,USO,ATP
174,1926,3,6дус4,6,4,,,,FRA,Renн© Lacoste,FRA,Jean Borotra,"6-4, 6-0, 6-4",M,S,USO,ATP
175,1927,1,11дус9,11,9,,,,FRA,Renн© Lacoste,USA,Bill Tilden,"11-9, 6-3, 11-9",M,S,USO,ATP
176,1927,2,6дус3,6,3,,,,FRA,Renн© Lacoste,USA,Bill Tilden,"11-9, 6-3, 11-9",M,S,USO,ATP
177,1927,3,11дус9,11,9,,,,FRA,Renн© Lacoste,USA,Bill Tilden,"11-9, 6-3, 11-9",M,S,USO,ATP
178,1928,1,4дус6,4,6,,,,FRA,Henri Cochet,USA,Francis Hunter,"4-6, 6-4, 3-6, 7-5, 6-3",M,S,USO,ATP
179,1928,2,6дус4,6,4,,,,FRA,Henri Cochet,USA,Francis Hunter,"4-6, 6-4, 3-6, 7-5, 6-3",M,S,USO,ATP
180,1928,3,3дус6,3,6,,,,FRA,Henri Cochet,USA,Francis Hunter,"4-6, 6-4, 3-6, 7-5, 6-3",M,S,USO,ATP
181,1928,4,7дус5,7,5,,,,FRA,Henri Cochet,USA,Francis Hunter,"4-6, 6-4, 3-6, 7-5, 6-3",M,S,USO,ATP
182,1928,5,6дус3,6,3,,,,FRA,Henri Cochet,USA,Francis Hunter,"4-6, 6-4, 3-6, 7-5, 6-3",M,S,USO,ATP
183,1929,1,3дус6,3,6,,,,USA,Bill Tilden,USA,Francis Hunter,"3-6, 6-3, 4-6, 6-2, 6-4",M,S,USO,ATP
184,1929,2,6дус3,6,3,,,,USA,Bill Tilden,USA,Francis Hunter,"3-6, 6-3, 4-6, 6-2, 6-4",M,S,USO,ATP
185,1929,3,4дус6,4,6,,,,USA,Bill Tilden,USA,Francis Hunter,"3-6, 6-3, 4-6, 6-2, 6-4",M,S,USO,ATP
186,1929,4,6дус2,6,2,,,,USA,Bill Tilden,USA,Francis Hunter,"3-6, 6-3, 4-6, 6-2, 6-4",M,S,USO,ATP
187,1929,5,6дус4,6,4,,,,USA,Bill Tilden,USA,Francis Hunter,"3-6, 6-3, 4-6, 6-2, 6-4",M,S,USO,ATP
