"","year","set_number","score_sets","games_winner","games_loser","score_extra","tiebreaker_winner","tiebreaker_loser","country_winner","winner","country_loser","loser","score_match","genderID","tourID","typeID","tournID"
"215","1971",1,"6–4","6","4","",NA,"","USA","Billie Jean King","USA","Rosemary Casals","6–4, 7–6","F","WTA","S","USO"
"216","1971",2,"7–6","7","6","",NA,"","USA","Billie Jean King","USA","Rosemary Casals","6–4, 7–6","F","WTA","S","USO"
"217","1972",1,"6–3","6","3","",NA,"","USA","Billie Jean King","AUS","Kerry Melville Reid","6–3, 7–5","F","WTA","S","USO"
"218","1972",2,"7–5","7","5","",NA,"","USA","Billie Jean King","AUS","Kerry Melville Reid","6–3, 7–5","F","WTA","S","USO"
"219","1973",1,"7–6","7","6","",NA,"","AUS","Margaret Court","AUS","Evonne Goolagong Cawley","7–6, 5–7, 6–2","F","WTA","S","USO"
"220","1973",2,"5–7","5","7","",NA,"","AUS","Margaret Court","AUS","Evonne Goolagong Cawley","7–6, 5–7, 6–2","F","WTA","S","USO"
"221","1973",3,"6–2","6","2","",NA,"","AUS","Margaret Court","AUS","Evonne Goolagong Cawley","7–6, 5–7, 6–2","F","WTA","S","USO"
"222","1974",1,"3–6","3","6","",NA,"","USA","Billie Jean King","AUS","Evonne Goolagong Cawley","3–6, 6–3, 7–5","F","WTA","S","USO"
"223","1974",2,"6–3","6","3","",NA,"","USA","Billie Jean King","AUS","Evonne Goolagong Cawley","3–6, 6–3, 7–5","F","WTA","S","USO"
"224","1974",3,"7–5","7","5","",NA,"","USA","Billie Jean King","AUS","Evonne Goolagong Cawley","3–6, 6–3, 7–5","F","WTA","S","USO"
"225","1975",1,"5–7","5","7","",NA,"","USA","Chris Evert","AUS","Evonne Goolagong Cawley","5–7, 6–4, 6–2","F","WTA","S","USO"
"226","1975",2,"6–4","6","4","",NA,"","USA","Chris Evert","AUS","Evonne Goolagong Cawley","5–7, 6–4, 6–2","F","WTA","S","USO"
"227","1975",3,"6–2","6","2","",NA,"","USA","Chris Evert","AUS","Evonne Goolagong Cawley","5–7, 6–4, 6–2","F","WTA","S","USO"
"228","1976",1,"6–3","6","3","",NA,"","USA","Chris Evert","AUS","Evonne Goolagong Cawley","6–3, 6–0","F","WTA","S","USO"
"229","1976",2,"6–0","6","0","",NA,"","USA","Chris Evert","AUS","Evonne Goolagong Cawley","6–3, 6–0","F","WTA","S","USO"
"230","1977",1,"7–6","7","6","",NA,"","USA","Chris Evert","AUS","Wendy Turnbull","7–6, 6–2","F","WTA","S","USO"
"231","1977",2,"6–2","6","2","",NA,"","USA","Chris Evert","AUS","Wendy Turnbull","7–6, 6–2","F","WTA","S","USO"
"232","1978",1,"7–5","7","5","",NA,"","USA","Chris Evert","USA","Pam Shriver","7–5, 6–4","F","WTA","S","USO"
"233","1978",2,"6–4","6","4","",NA,"","USA","Chris Evert","USA","Pam Shriver","7–5, 6–4","F","WTA","S","USO"
"234","1979",1,"6–4","6","4","",NA,"","USA","Tracy Austin","USA","Chris Evert","6–4, 6–3","F","WTA","S","USO"
"235","1979",2,"6–3","6","3","",NA,"","USA","Tracy Austin","USA","Chris Evert","6–4, 6–3","F","WTA","S","USO"
"236","1980",1,"5–7","5","7","",NA,"","USA","Chris Evert","TCH","Hana Mandlíková","5–7, 6–1, 6–1","F","WTA","S","USO"
"237","1980",2,"6–1","6","1","",NA,"","USA","Chris Evert","TCH","Hana Mandlíková","5–7, 6–1, 6–1","F","WTA","S","USO"
"238","1980",3,"6–1","6","1","",NA,"","USA","Chris Evert","TCH","Hana Mandlíková","5–7, 6–1, 6–1","F","WTA","S","USO"
"239","1981",1,"1–6","1","6","",NA,"","USA","Tracy Austin","USA","Martina Navratilova","1–6, 7–6(7–4), 7–6(7–1)","F","WTA","S","USO"
"240","1981",2,"7–6","7","6","7–4","7","4","USA","Tracy Austin","USA","Martina Navratilova","1–6, 7–6(7–4), 7–6(7–1)","F","WTA","S","USO"
"241","1981",3,"7–6","7","6","7–1","7","1","USA","Tracy Austin","USA","Martina Navratilova","1–6, 7–6(7–4), 7–6(7–1)","F","WTA","S","USO"
