"country_code","player","rank","match","tour","round","player_id","scrape_time","date_of_birth","height_inches","weight_lbs","hand","exact_age","age","country"
"RUS","Evgeny Donskoy",NA,35,"ATP",1,69,"2014-08-23 14:46:59",1990-05-09,72.834685,163,"R",24.290212183436,24,"Russia"
"RUS","Mikhail Youzhny",21,21,"ATP",1,41,"2014-08-23 14:46:59",1982-06-25,72.047283,160,"R",32.1615331964408,32,"Russia"
"RUS","Teymuraz Gabashvili",NA,36,"ATP",1,71,"2014-08-23 14:46:59",1985-05-23,74.015788,182,"R",29.2511978097194,29,"Russia"
"SLO","Blaz Kavcic",NA,19,"ATP",1,37,"2014-08-23 14:46:59",1987-03-05,74.015788,174,"R",27.4688569472964,27,"Slovakia"
"SLO","Blaz Rola",NA,13,"ATP",1,26,"2014-08-23 14:46:59",1990-10-05,75.984293,175,"L",23.8822724161533,23,"Slovakia"
"SRB","Dusan Lajovic",NA,43,"ATP",1,86,"2014-08-23 14:46:59",1990-06-30,72.047283,174,"R",24.1478439425051,24,"Serbia"
"SRB","Novak Djokovic",1,1,"ATP",1,1,"2014-08-23 14:46:59",1987-05-22,74.015788,176,"R",27.2553045859001,27,"Serbia"
"SRB","Filip Krajinovic",NA,59,"ATP",1,117,"2014-08-23 14:46:59",1992-02-27,73,165,"R",22.4859685147159,22,"Serbia"
"SUI","Marco Chiudinelli",NA,42,"ATP",1,84,"2014-08-23 14:46:59",1981-09-10,74.015788,174,"R",32.9500342231348,32,"Switzerland"
"SUI","Roger Federer",2,64,"ATP",1,128,"2014-08-23 14:46:59",1981-08-08,72.834685,187,"R",33.0403832991102,33,"Switzerland"
"SUI","Stan Wawrinka",3,17,"ATP",1,33,"2014-08-23 14:46:59",1985-03-28,72.047283,179,"R",29.4045174537988,29,"Switzerland"
"SVK","Lukas Lacko",NA,39,"ATP",1,77,"2014-08-23 14:46:59",1987-11-03,72.834685,188,"R",26.8035592060233,26,"Slovakia"
"SVK","Martin Klizan",NA,34,"ATP",1,68,"2014-08-23 14:46:59",1989-07-11,74.015788,165,"L",25.1170431211499,25,"Slovakia"
"TPE","Yen-Hsun Lu",NA,4,"ATP",1,7,"2014-08-23 14:46:59",1983-08-14,70.86618,163,"R",31.025325119781,31,"Taiwan"
"UKR","Illya Marchenko",NA,42,"ATP",1,83,"2014-08-23 14:46:59",1987-09-08,72.834685,172,"R",26.9568788501027,26,"Ukraine"
"UKR","Sergiy Stakhovsky",NA,22,"ATP",1,43,"2014-08-23 14:46:59",1986-01-06,75.984293,176,"R",28.6269678302532,28,"Ukraine"
"URU","Pablo Cuevas",NA,44,"ATP",1,87,"2014-08-23 14:46:59",1986-01-01,70.86618,176,"R",28.6406570841889,28,"Uruguay"
"USA","Tim Smyczek",NA,59,"ATP",1,118,"2014-08-23 14:46:59",1987-12-30,68.897675,160,"R",26.6475017111567,26,"USA"
"USA","Steve Johnson",NA,38,"ATP",1,75,"2014-08-23 14:46:59",1989-12-24,74.015788,190,"R",24.662559890486,24,"USA"
"USA","Ryan Harrison",NA,49,"ATP",1,98,"2014-08-23 14:46:59",1992-05-07,74.015788,185,"R",22.2943189596167,22,"USA"
"USA","Donald Young",NA,19,"ATP",1,38,"2014-08-23 14:46:59",1989-07-23,72.047283,175,"L",25.0841889117043,25,"USA"
"USA","Jared Donaldson",NA,53,"ATP",1,106,"2014-08-23 14:46:59",1996-10-09,74,155,"R",17.8699520876112,17,"USA"
"USA","Bradley Klahn",NA,14,"ATP",1,27,"2014-08-23 14:46:59",1990-08-20,72.047283,165,"L",24.0082135523614,24,"USA"
"USA","Wayne Odesnik",NA,25,"ATP",1,50,"2014-08-23 14:46:59",1985-11-21,70.86618,170,"L",28.7529089664613,28,"USA"
"USA","Noah Rubin",NA,46,"ATP",1,91,"2014-08-23 14:46:59",1996-02-21,69,145,"R",18.5023956194387,18,"USA"
"USA","Sam Querrey",NA,3,"ATP",1,6,"2014-08-23 14:46:59",1987-10-07,77.952798,200,"R",26.8774811772758,26,"USA"
"USA","Jack Sock",NA,26,"ATP",1,52,"2014-08-23 14:46:59",1992-09-24,72.834685,180,"R",21.9110198494182,21,"USA"
"USA","Marcos Giron",NA,8,"ATP",1,15,"2014-08-23 14:46:59",1993-07-24,71,165,"R",21.0814510609172,21,"USA"
"USA","John Isner",13,8,"ATP",1,16,"2014-08-23 14:46:59",1985-04-26,81.889808,238,"R",29.3251197809719,29,"USA"
"UZB","Denis Istomin",NA,56,"ATP",1,111,"2014-08-23 14:46:59",1986-09-07,74.015788,194,"R",27.958932238193,27,"Uzbekistan"
